                          ,&, Obs ,&, Mean ,&,  25$^{th}$ ,&, Median ,&, 75$^{th}$ ,\\
\midrule                          ,,,,,,,,,,,
Firm sales                 ,&,15000,&,-0.003,&,-0.004,&,-0.003,&,-0.002,                 \\
Firm exp.           ,&,15000,&,0.200,&,-2.660,&,-0.023,&,2.825,                \\
Industry pair exp. ,&,4900,&,0.000,&,-0.930,&,-0.006,&,0.841,                 \\
Region exp.         ,&,70,&,0.000,&,0.000,&,0.000,&,0.000,                 \\
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,Min.,,1st Qu.,,Median,,Mean,,3rd Qu.,Max.
x3,,-7.77E-03,,-0.003903,,-0.003056,,-3.16E-03,,-2.32E-03,-4.05E-04
x2,,-5.05E+01,,-2.66,,-0.02319,,2.00E-01,,2.83E+00,4.95E+01
x4,,-2.73E+00,,-0.9298,,-0.006182,,9.62E-05,,8.41E-01,3.41E+00
x1,,-1.28E-04,,-0.0001087,,-0.0001036,,-1.04E-04,,-9.72E-05,-8.30E-05
